period,tarea,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,valid_obs,valid_obs_py,reg,perc_area_meas,perc_area_res,area_nodata,area
2000-01-01_2020-01-01,32878200000.0,-0.163,0.028,-5360179165.0,909144129.0,-4.5562,0.837,-0.139,0.025,40.51,15.15,14.0,0.938,0.948,60698000.0,33568298000.0
2005-01-01_2010-01-01,33109350000.0,-0.149,0.057,-4949599557.0,1884253782.0,-4.2072,1.6289,-0.127,0.049,10.64,3.77,14.0,0.938,0.948,60698000.0,33568298000.0
2010-01-01_2015-01-01,32647100000.0,-0.178,0.052,-5813872861.0,1694880211.0,-4.9418,1.4823,-0.151,0.045,11.09,4.0,14.0,0.938,0.948,60698000.0,33568298000.0
2015-01-01_2020-01-01,32184850000.0,-0.225,0.072,-7255956315.0,2326158230.0,-6.1676,2.0246,-0.192,0.063,10.78,3.91,14.0,0.938,0.948,60698000.0,33568298000.0
2000-01-01_2005-01-01,14742450000.0,-0.462,0.078,-6818321222.0,1151341175.0,-5.7956,1.0607,-0.393,0.072,6.58,3.19,15.0,0.918,0.925,26190000.0,14734204000.0
2000-01-01_2020-01-01,14405800000.0,-0.561,0.042,-8088040849.0,604109915.0,-6.8748,0.7065,-0.477,0.049,28.18,12.91,15.0,0.918,0.925,26190000.0,14734204000.0
2005-01-01_2010-01-01,14518000000.0,-0.533,0.067,-7732299368.0,964470865.0,-6.5725,0.942,-0.453,0.065,8.69,3.4,15.0,0.918,0.925,26190000.0,14734204000.0
2010-01-01_2015-01-01,14293550000.0,-0.591,0.068,-8443409725.0,968520361.0,-7.1769,0.9666,-0.502,0.068,6.39,3.15,15.0,0.918,0.925,26190000.0,14734204000.0
2015-01-01_2020-01-01,14069100000.0,-0.665,0.084,-9358133083.0,1174144989.0,-7.9544,1.1451,-0.565,0.082,6.52,3.17,15.0,0.918,0.925,26190000.0,14734204000.0
2000-01-01_2005-01-01,2263500000.0,-0.468,0.104,-1059568580.0,234276480.0,-0.9006,0.209,-0.398,0.092,9.21,3.99,16.0,0.949,0.956,2816000.0,2341036000.0
2000-01-01_2020-01-01,2055300000.0,-0.534,0.057,-1097299182.0,117057027.0,-0.9327,0.1193,-0.454,0.058,35.17,14.53,16.0,0.949,0.956,2816000.0,2341036000.0
2005-01-01_2010-01-01,2124700000.0,-0.525,0.092,-1114446781.0,194552989.0,-0.9473,0.1784,-0.446,0.084,8.82,3.45,16.0,0.949,0.956,2816000.0,2341036000.0
2010-01-01_2015-01-01,1985900000.0,-0.541,0.105,-1075342150.0,207803978.0,-0.914,0.188,-0.46,0.095,8.46,3.36,16.0,0.949,0.956,2816000.0,2341036000.0
2015-01-01_2020-01-01,1847100000.0,-0.617,0.115,-1139839217.0,211865860.0,-0.9689,0.1926,-0.525,0.104,8.68,3.73,16.0,0.949,0.956,2816000.0,2341036000.0
2000-01-01_2005-01-01,29296650000.0,-0.728,0.147,-21331038202.0,4300816101.0,-18.1314,3.8733,-0.619,0.132,4.58,2.28,17.0,0.915,0.925,120098000.0,29429320000.0
2000-01-01_2020-01-01,28899350000.0,-0.842,0.059,-24340468242.0,1696680352.0,-20.6894,2.0525,-0.716,0.071,27.41,11.49,17.0,0.915,0.925,120098000.0,29429320000.0
2005-01-01_2010-01-01,29031800000.0,-0.818,0.086,-23756939693.0,2487359507.0,-20.1934,2.5499,-0.696,0.088,5.81,2.82,17.0,0.915,0.925,120098000.0,29429320000.0
2010-01-01_2015-01-01,28766950000.0,-0.85,0.087,-24442739235.0,2489865282.0,-20.7763,2.5749,-0.722,0.09,8.34,3.01,17.0,0.915,0.925,120098000.0,29429320000.0
